,Name2,Name1,ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_Length,Name_Og,Name_Og2,Name_corr
62,Location 10,Location 45,2292,Location 45 - Location 10,45,10,4,1647.085629,SBGD.2,GEO.d,SBGD.2-GEO.d
63,Location 10,Location 20,1029,Location 20 - Location 10,20,10,41,51025.22852,MAL.12b,GEO.d,MAL.12b-GEO.d
64,Location 10,Location 39,1987,Location 39 - Location 10,39,10,11,9739.069516,SACU.1,GEO.d,SACU.1-GEO.d
65,Location 10,Location 49,2518,Location 49 - Location 10,49,10,22,23639.29601,STMD.3,GEO.d,STMD.3-GEO.d
66,Location 10,Location 51,2611,Location 51 - Location 10,51,10,11,11256.9434,STMU.1,GEO.d,STMU.1-GEO.d
67,Location 10,Location 9,438,Location 9 - Location 10,9,10,22,26256.64304,CCH.2,GEO.d,CCH.2-GEO.d
68,Location 10,Location 8,386,Location 8 - Location 10,8,10,22,26243.44153,CCH.1,GEO.d,CCH.1-GEO.d
69,Location 10,Location 40,2039,Location 40 - Location 10,40,10,11,9744.88475,SACU.2,GEO.d,SACU.2-GEO.d
70,Location 10,Location 16,821,Location 16 - Location 10,16,10,41,51025.22852,MAL.10b,GEO.d,MAL.10b-GEO.d
71,Location 10,Location 27,1393,Location 27 - Location 10,27,10,41,50785.92505,MAL.5,GEO.d,MAL.5-GEO.d
72,Location 10,Location 21,1081,Location 21 - Location 10,21,10,41,51176.52385,MAL.13,GEO.d,MAL.13-GEO.d
73,Location 10,Location 14,717,Location 14 - Location 10,14,10,41,50863.88498,MAL.1,GEO.d,MAL.1-GEO.d
74,Location 10,Location 32,1653,Location 32 - Location 10,32,10,41,51099.03128,MAL.8b,GEO.d,MAL.8b-GEO.d
75,Location 10,Location 25,1289,Location 25 - Location 10,25,10,41,50831.39204,MAL.2,GEO.d,MAL.2-GEO.d
76,Location 10,Location 19,977,Location 19 - Location 10,19,10,41,50917.86212,MAL.12a,GEO.d,MAL.12a-GEO.d
77,Location 10,Location 5,222,Location 5 - Location 10,5,10,14,31876.45292,BF.1,GEO.d,BF.1-GEO.d
78,Location 10,Location 43,2195,Location 43 - Location 10,43,10,11,14059.72408,SBE.d,GEO.d,SBE.d-GEO.d
79,Location 10,Location 41,2091,Location 41 - Location 10,41,10,11,9625.254784,SACU.3,GEO.d,SACU.3-GEO.d
80,Location 10,Location 52,2663,Location 52 - Location 10,52,10,11,11372.42818,STMU.2,GEO.d,STMU.2-GEO.d
81,Location 10,Location 46,2344,Location 46 - Location 10,46,10,4,1549.117623,SBGU.2,GEO.d,SBGU.2-GEO.d
82,Location 10,Location 22,1133,Location 22 - Location 10,22,10,41,51156.67347,MAL.14,GEO.d,MAL.14-GEO.d
83,Location 10,Location 17,873,Location 17 - Location 10,17,10,41,50996.65094,MAL.11a,GEO.d,MAL.11a-GEO.d
84,Location 10,Location 28,1445,Location 28 - Location 10,28,10,41,50741.12493,MAL.6,GEO.d,MAL.6-GEO.d
85,Location 10,Location 2,69,Location 2 - Location 10,2,10,17,91497.41473,Yolo Bypass @ Fremont Weir,GEO.d,Yolo Bypass @ Fremont Weir-GEO.d
86,Location 10,Location 15,769,Location 15 - Location 10,15,10,41,50941.56666,MAL.10a,GEO.d,MAL.10a-GEO.d
87,Location 10,Location 23,1185,Location 23 - Location 10,23,10,41,51136.67934,MAL.17,GEO.d,MAL.17-GEO.d
88,Location 10,Location 26,1341,Location 26 - Location 10,26,10,41,50811.35347,MAL.4,GEO.d,MAL.4-GEO.d
89,Location 10,Location 6,274,Location 6 - Location 10,6,10,14,31893.45972,BF.2,GEO.d,BF.2-GEO.d
90,Location 10,Location 12,579,Location 12 - Location 10,12,10,7,27484.582,LPS.d,GEO.d,LPS.d-GEO.d
91,Location 10,Location 13,631,Location 13 - Location 10,13,10,7,27398.97145,LPS.u,GEO.d,LPS.u-GEO.d
92,Location 10,Location 42,2143,Location 42 - Location 10,42,10,11,9643.275668,SACU.4,GEO.d,SACU.4-GEO.d
93,Location 10,Location 1,17,Location 1 - Location 10,1,10,17,149910.3402,Tisdale Weir,GEO.d,Tisdale Weir-GEO.d
94,Location 10,Location 47,2414,Location 47 - Location 10,47,10,22,23737.92709,STMD.1,GEO.d,STMD.1-GEO.d
95,Location 10,Location 29,1497,Location 29 - Location 10,29,10,41,51025.22852,MAL.7a,GEO.d,MAL.7a-GEO.d
96,Location 10,Location 11,522,Location 11 - Location 10,11,10,2,81.85676944,GEO.u,GEO.d,GEO.u-GEO.d
97,Location 10,Location 37,1886,Location 37 - Location 10,37,10,14,19032.98865,SACD.3,GEO.d,SACD.3-GEO.d
98,Location 10,Location 35,1782,Location 35 - Location 10,35,10,14,18921.40234,SACD.1,GEO.d,SACD.1-GEO.d
