"","Name_corr","mean_Total_Length"
"390","MS02-Rstr",119319.206225
"391","MS02-SacMouth",109031.841425
"392","MS02-Sacramento_Release",11634.58564
"393","MS02-Steamboat",90686.17826
"394","MS02-Sutter",85607.8690025
"395","MS02-UpperMiner",94761.40633
"396","MS02-Yolo_Release",157705.11025
"397","MS03-Base_TD",110173.18575
"398","MS03-BaseSteamboat",104621.7388
"399","MS03-BC_joint",113241.812711111
"400","MS03-Chipps",136122.436886111
"401","MS03-Georgiana",96345.0303766667
"402","MS03-I_80_1",143271.8363
"403","MS03-KLB",6373.3287885
"404","MS03-Lisbon",132425.1358
"405","MS03-Miner",102063.441833333
"406","MS03-MS01",4572.55797908333
"407","MS03-MS02",1453.7039155
"408","MS03-MS03",107.59668124
"409","MS03-MS04",805.97259905
"410","MS03-MS05",1858.89993108333
"411","MS03-MS06",5455.15697533333
"412","MS03-MS07",8623.69965991667
"413","MS03-MS08",16050.3950333333
"414","MS03-MS09",19814.4336233333
"415","MS03-MS10",25522.3613846667
"416","MS03-MS11",147432.3035
"417","MS03-MS12",46091.03082
"418","MS03-MS13",68002.856418
"419","MS03-MS14",95249.9106886667
"420","MS03-MS15",106536.8301
"421","MS03-MS16",99107.5752333333
"422","MS03-RM61",40462.7626833333
"423","MS03-RM71",23477.6906033333
"424","MS03-RM80_5",7883.052212
"425","MS03-RM88",2332.72925416667
"426","MS03-Rstr",117865.502333333
"427","MS03-SacMouth",107578.1375
"428","MS03-Sacramento_Release",13088.2895566667
"429","MS03-Steamboat",89232.4743433333
"430","MS03-Sutter",84154.1650833333
"431","MS03-UpperMiner",93307.7024133333
"432","MS03-Yolo_Release",156251.4063
"433","MS04-Base_TD",109367.213175
"434","MS04-BaseSteamboat",103815.766175
"435","MS04-BC_joint",112435.840116667
"436","MS04-Chipps",135316.4643
"437","MS04-Georgiana",95539.0577775
"438","MS04-I_80_1",142465.863725
"439","MS04-KLB",7179.301387375
"440","MS04-Lisbon",131619.163175
"441","MS04-Miner",101257.469225
"442","MS04-MS01",5378.530578125
"443","MS04-MS02",2259.67651475
"444","MS04-MS03",805.97259905
"445","MS04-MS04",58.5000721425
"446","MS04-MS05",1052.92733194375
"447","MS04-MS06",4649.18437633333
"448","MS04-MS07",7817.7270608125
"449","MS04-MS08",15244.4224341667
"450","MS04-MS09",19008.46102375
"451","MS04-MS10",24716.388786
"452","MS04-MS11",146626.330925
"453","MS04-MS12",45285.0582225
"454","MS04-MS13",67196.8838185
"455","MS04-MS14",94443.9380915
"456","MS04-MS15",105730.857475
"457","MS04-MS16",98301.60263
"458","MS04-RM61",39656.79008
"459","MS04-RM71",22671.7180025
"460","MS04-RM80_5",7077.079613
"461","MS04-RM88",3138.701853375
"462","MS04-Rstr",117059.529725
"463","MS04-SacMouth",106772.164925
"464","MS04-Sacramento_Release",13894.262155
"465","MS04-Steamboat",88426.5017475
"466","MS04-Sutter",83348.1924875
"467","MS04-UpperMiner",92501.729815
"468","MS04-Yolo_Release",155445.433725
"469","MS05-Base_TD",108314.28585
"470","MS05-BaseSteamboat",102762.83885
"471","MS05-BC_joint",111382.912783333
"472","MS05-Chipps",134263.536963542
"473","MS05-Georgiana",94486.1304475
"474","MS05-I_80_1",141412.9364
"475","MS05-KLB",8232.2287195
"476","MS05-Lisbon",130566.23585
"477","MS05-Miner",100204.54191
"478","MS05-MS01",6431.4579100625
"479","MS05-MS02",3312.60384675
"480","MS05-MS03",1858.89993108333
"481","MS05-MS04",1052.92733194375
"482","MS05-MS05",391.65013389
"483","MS05-MS06",3777.61884371667
"484","MS05-MS07",6764.7997290625
"485","MS05-MS08",14191.4951016667
"486","MS05-MS09",17955.53369125
"487","MS05-MS10",23663.461454
"488","MS05-MS11",145573.4036
"489","MS05-MS12",44232.1308916667
"490","MS05-MS13",66143.956486
"491","MS05-MS14",93391.0107565
"492","MS05-MS15",104677.93015
"493","MS05-MS16",97248.6752975
"494","MS05-RM61",38603.8627475
"495","MS05-RM71",21618.79067125
"496","MS05-RM80_5",6024.152281
"497","MS05-RM88",4191.629185375
"498","MS05-Rstr",116006.6023875
"499","MS05-SacMouth",105719.2376
"500","MS05-Sacramento_Release",14947.1894875
"501","MS05-Steamboat",87373.574415
"502","MS05-Sutter",82295.265155
"503","MS05-UpperMiner",91448.802485
"504","MS05-Yolo_Release",154392.5064
"505","MS06-Base_TD",104718.0288
"506","MS06-BaseSteamboat",99166.5818033333
"507","MS06-BC_joint",107786.655736667
"508","MS06-Chipps",130667.279916667
"509","MS06-Georgiana",90889.8734033333
"510","MS06-I_80_1",137816.679366667
"511","MS06-KLB",11828.4857621667
"512","MS06-Lisbon",126969.9788
"513","MS06-Miner",96608.28487
"514","MS06-MS01",10027.7149549167
"515","MS06-MS02",6908.86089091667
"516","MS06-MS03",5455.15697533333
"517","MS06-MS04",4649.18437633333
"518","MS06-MS05",3777.61884371667
"519","MS06-MS06",2476.57413815111
"520","MS06-MS07",3168.5426845
"521","MS06-MS08",10595.2380568889
"522","MS06-MS09",14359.2766433333
"523","MS06-MS10",20067.2044093333
"524","MS06-MS11",141977.146566667
"525","MS06-MS12",40635.8738488889
"526","MS06-MS13",62547.6994413333
"527","MS06-MS14",89794.7537093333
"528","MS06-MS15",101081.673103333
"529","MS06-MS16",93652.4182533333
"530","MS06-RM61",35007.6057033333
"531","MS06-RM71",18022.533625
"532","MS06-RM80_5",2427.89523676667
"533","MS06-RM88",7787.88622966667
"534","MS06-Rstr",112410.34535
"535","MS06-SacMouth",102122.9805
"536","MS06-Sacramento_Release",18543.4465366667
"537","MS06-Steamboat",83777.3173733333
"538","MS06-Sutter",78699.0081133333
"539","MS06-UpperMiner",87852.5454433333
"540","MS06-Yolo_Release",150796.249366667
"541","MS07-Base_TD",101549.4861
"542","MS07-BaseSteamboat",95998.0391225
"543","MS07-BC_joint",104618.113050833
"544","MS07-Chipps",127498.737228125
"545","MS07-Georgiana",87721.33072
"546","MS07-I_80_1",134648.13665
"547","MS07-KLB",14997.02844875
"548","MS07-Lisbon",123801.436125
"549","MS07-Miner",93439.74218
"550","MS07-MS01",13196.25763875
"551","MS07-MS02",10077.40357475
"552","MS07-MS03",8623.69965991667
"553","MS07-MS04",7817.7270608125
"554","MS07-MS05",6764.7997290625
"555","MS07-MS06",3168.5426845
"556","MS07-MS07",87.2726762025
"557","MS07-MS08",7426.69537275
"558","MS07-MS09",11190.73396
"559","MS07-MS10",16898.661726
"560","MS07-MS11",138808.60385
"561","MS07-MS12",37467.3311616667
"562","MS07-MS13",59379.156757
"563","MS07-MS14",86626.211027
"564","MS07-MS15",97913.1304225
"565","MS07-MS16",90483.87557
"566","MS07-RM61",31839.06302
"567","MS07-RM71",14853.99094125
"568","MS07-RM80_5",740.6474479
"569","MS07-RM88",10956.42891375
"570","MS07-Rstr",109241.8026625
"571","MS07-SacMouth",98954.4378475
"572","MS07-Sacramento_Release",21711.98922
"573","MS07-Steamboat",80608.7746825
"574","MS07-Sutter",75530.4654275
"575","MS07-UpperMiner",84684.0027525
"576","MS07-Yolo_Release",147627.70665
"577","MS08-Base_TD",94122.7907366667
"578","MS08-BaseSteamboat",88571.3437533333
"579","MS08-BC_joint",97191.4176755556
"580","MS08-Chipps",120072.041859722
"581","MS08-Georgiana",80294.6353466667
"582","MS08-I_80_1",127221.4413
"583","MS08-KLB",22423.72382
"584","MS08-Lisbon",116374.740733333
"585","MS08-Miner",86013.0468066667
"586","MS08-MS01",20622.9530108333
"587","MS08-MS02",17504.0989491667
"588","MS08-MS03",16050.3950333333
"589","MS08-MS04",15244.4224341667
"590","MS08-MS05",14191.4951016667
"591","MS08-MS06",10595.2380568889
"592","MS08-MS07",7426.69537275
"593","MS08-MS08",17.6794981155556
"594","MS08-MS09",3764.038589
"595","MS08-MS10",9471.96635226667
"596","MS08-MS11",131381.908533333
"597","MS08-MS12",30040.63579
"598","MS08-MS13",51952.461384
"599","MS08-MS14",79199.515654
"600","MS08-MS15",90486.4350533333
"601","MS08-MS16",83057.1801966667
"602","MS08-RM61",24412.3676466667
"603","MS08-RM71",7427.29556916667
"604","MS08-RM80_5",8167.34282066667
