Name,OriginID,DestinationID,Total_Length_m
Abv Grimes - SR_Mouth,2,128,174523.2347
Abv Grimes - RioVistaBr,2,121,175374.5541
Abv Grimes - Blw_Salt,2,42,175620.8132
Abv Grimes - JV_Glide,2,96,177383.0216
Abv Grimes - AntelopeCk2,2,12,177503.4021
Abv Grimes - ToeDrainBase,2,136,177633.709
Abv Grimes - Abv_RBPP,2,5,179997.638
Abv Grimes - RedBluffDivDam,2,120,179997.638
Abv Grimes - AntelopeCk1,2,11,182228.975
Abv Grimes - GeorgeMok,2,84,182295.6358
Abv Grimes - ThreeMile,2,135,184103.6032
Abv Grimes - ToeDrainRST,2,137,184681.1047
Abv Grimes - SouthofBW,2,127,185462.1494
Abv Grimes - Mok_NF_end,2,114,185722.2274
Abv Grimes - DeckerIsland,2,71,186775.8333
Abv Grimes - Adobe,2,10,187207.7189
Abv Grimes - SJ_JerseyPt,2,126,192120.3358
Abv Grimes - Mok_SF_Blw_Hwy12,2,116,192491.4013
Abv Grimes - Mok_SF_end,2,117,193271.1904
Abv Grimes - Blw_Paynes_Ck,2,41,195118.5724
Abv Grimes - AntiochBridge,2,15,198317.5656
Abv Grimes - Mok_NF,2,113,198652.1294
Abv Grimes - YB_LisbonWeir,2,141,199352.9203
Abv Grimes - Antioch,2,14,199786.2739
Abv Grimes - Mok_SF,2,115,200439.458
Abv Grimes - ChippsW,2,65,201127.1583
Abv Grimes - ChippsE,2,64,201643.5545
Abv Grimes - DeltaCross_Channel,2,77,202066.7959
Abv Grimes - SJ_Dutch Slough,2,125,202395.5929
Abv Grimes - YB_LeveeMarker,2,139,207270.794
Abv Grimes - Old River,2,119,211579.5752
Abv Grimes - MiddleRiver,2,104,212735.7615
Abv Grimes - Benicia,2,34,221754.9679
Abv Grimes - YB_OldRiverRd,2,142,223190.4278
Abv Grimes - Battle_Conf,2,22,226256.731
Abv Grimes - KnaggsRanch_BlwRel,2,97,226340.3253
Abv Grimes - KnaggsRanch_Rel,2,98,226448.7601
Abv Grimes - BattleCk4,2,32,227176.4693
Abv Grimes - BattleCk3,2,31,230254.5359
Abv Grimes - BattleCk1_2014,2,27,232629.4253
Abv Grimes - BattleCk2,2,28,233750.2469
Abv Grimes - BattleCk_Bridge,2,23,234197.2242
Abv Grimes - BattleCk2_2014,2,29,235129.4095
Abv Grimes - BattleCk1,2,26,235498.4711
Abv Grimes - BattleCk250BlwFL,2,30,235747.8682
Abv Grimes - BattleCk_CNFH,2,24,235859.4004
Abv Grimes - BattleCk_RST_Rel,2,25,235904.6048
Abv Grimes - BlwCowCr,2,47,240115.6687
Abv Grimes - Blw_ClearCr,2,35,254828.2425
Abv Grimes - Bonnyview_Rel,2,52,259782.6189
Abv Grimes - Blw_Cypress,2,36,263366.3803
Abv Grimes - Hwy 44 Bridge,2,93,267088.6645
Abv Grimes - Caldwell Park_Rel,2,63,270605.7985
Abv Grimes - GoldenGateE,2,86,277593.3202
Abv Grimes - GoldenGateW,2,87,278419.4862
Abv_FremontWeir - Abv_FremontWeir,3,3,0
Abv_FremontWeir - Blw_FRConf,3,37,0
Abv_FremontWeir - Blw_FremontWeir,3,38,0
Abv_FremontWeir - Butte6,3,61,1652.411334
Abv_FremontWeir - BC_Beach,3,33,11832.89274
Abv_FremontWeir - Butte5,3,60,12075.26697
Abv_FremontWeir - Knights_RST,3,99,13489.13767
Abv_FremontWeir - KnightsLandingBr,3,101,16786.33282
Abv_FremontWeir - KnightsLanding,3,100,19372.63797
Abv_FremontWeir - Butte4,3,59,19986.83863
Abv_FremontWeir - Butte3,3,58,21551.74669
Abv_FremontWeir - StarBend,3,129,29653.92362
Abv_FremontWeir - AR_Mouth,3,17,31657.48952
Abv_FremontWeir - TowerBridge,3,138,33102.96322
Abv_FremontWeir - Butte2,3,57,33606.62334
Abv_FremontWeir - I80_Br,3,95,34357.99602
Abv_FremontWeir - FR Boyds Release,3,78,35963.28015
Abv_FremontWeir - BoydsPump,3,53,36200.85665
Abv_FremontWeir - BlwChinaBend,3,46,36441.79643
Abv_FremontWeir - SacTrawl1,3,122,38103.95279
Abv_FremontWeir - AR_Upstream_Hwy80,3,20,38390.06455
Abv_FremontWeir - SacTrawl2,3,123,38454.2169
Abv_FremontWeir - ShanghaiBend,3,124,40703.98595
Abv_FremontWeir - Bullock Bend,3,54,43108.04601
Abv_FremontWeir - Butte1,3,56,44204.01378
Abv_FremontWeir - Butte0.5,3,55,44648.84402
Abv_FremontWeir - SutterBypass Weir2 RST,3,132,44694.14934
Abv_FremontWeir - AR_Downstream_WattAve,3,16,45672.98942
Abv_FremontWeir - Freeport Div.,3,80,51914.70746
Abv_FremontWeir - FreeportBr,3,81,51914.70746
Abv_FremontWeir - Freeport,3,79,52764.68013
Abv_FremontWeir - AR_RanchoCordova,3,18,57150.82226
Abv_FremontWeir - BlwTisdale,3,51,57477.06952
Abv_FremontWeir - AR_Sunrise_Ramp,3,19,63871.14522
Abv_FremontWeir - SunsetPumps,3,131,64213.12014
Abv_FremontWeir - AbvTisdale,3,9,65467.83407
Abv_FremontWeir - Hood Release,3,90,65484.36955
Abv_FremontWeir - Hood_RT,3,91,65628.45227
Abv_FremontWeir - Above_Hood,3,1,66293.03615
Abv_FremontWeir - Hood,3,89,66992.72555
Abv_FremontWeir - Colusa BC2,3,68,67415.68956
Abv_FremontWeir - Nimbus Hatchery RW,3,118,67572.32787
Abv_FremontWeir - Blw_Hood,3,39,70728.08983
Abv_FremontWeir - MeridanBr,3,103,72799.82835
Abv_FremontWeir - Blw_Sutter,3,44,73712.09036
Abv_FremontWeir - SutterSlough,3,133,74211.86396
Abv_FremontWeir - AbvColusaBr,3,7,75926.33339
Abv_FremontWeir - BlwMoulton,3,49,75926.33339
Abv_FremontWeir - Colusa BC3,3,69,76417.47773
Abv_FremontWeir - Blw_Steamboat,3,43,76571.9064
Abv_FremontWeir - SteamboatSlough,3,130,76817.39073
Abv_FremontWeir - Abv Grimes,3,2,77483.99405
Abv_FremontWeir - CoxRiffle,3,70,78395.84081
Abv_FremontWeir - MinorBlwSutter,3,112,80582.05709
Abv_FremontWeir - MinerNorth,3,111,80675.92416
Abv_FremontWeir - Gridley_Rel,3,88,81985.29544
Abv_FremontWeir - AbvColusaBrRT,3,8,82452.65332
Abv_FremontWeir - SutterSteamJunc,3,134,83407.1982
Abv_FremontWeir - Georgiana_Slough,3,85,85999.0395
Abv_FremontWeir - BlwGeorgiana,3,48,86163.43359
Abv_FremontWeir - Colusa AC2,3,66,86715.06396
Abv_FremontWeir - Lower Minor,3,102,90696.08968
Abv_FremontWeir - YB_LibertyIsBase,3,140,93365.57356
Abv_FremontWeir - BaseSutterSteam,3,21,93560.08872
Abv_FremontWeir - Hwy84Ferry,3,94,95413.93675
Abv_FremontWeir - SR_Mouth,3,128,97039.24063
Abv_FremontWeir - RioVistaBr,3,121,97890.56002
Abv_FremontWeir - Colusa AC3,3,67,99464.89069
Abv_FremontWeir - ToeDrainBase,3,136,100149.7149
Abv_FremontWeir - GeorgeMok,3,84,104811.6418
Abv_FremontWeir - BlwButteBr,3,45,106462.1315
Abv_FremontWeir - ThreeMile,3,135,106619.6091
Abv_FremontWeir - ToeDrainRST,3,137,107197.1106
Abv_FremontWeir - SouthofBW,3,127,107978.1553
Abv_FremontWeir - Mok_NF_end,3,114,108238.2333
Abv_FremontWeir - DeckerIsland,3,71,109291.8393
Abv_FremontWeir - ButteBr,3,62,112146.2251
Abv_FremontWeir - SJ_JerseyPt,3,126,114636.3418
Abv_FremontWeir - Mok_SF_Blw_Hwy12,3,116,115007.4073
Abv_FremontWeir - Mok_SF_end,3,117,115787.1964
Abv_FremontWeir - AntiochBridge,3,15,120833.5715
Abv_FremontWeir - Mok_NF,3,113,121168.1354
Abv_FremontWeir - YB_LisbonWeir,3,141,121868.9262
Abv_FremontWeir - Antioch,3,14,122302.2799
Abv_FremontWeir - Mok_SF,3,115,122955.464
Abv_FremontWeir - ChippsW,3,65,123643.1643
Abv_FremontWeir - ChippsE,3,64,124159.5604
Abv_FremontWeir - DeltaCross_Channel,3,77,124582.8018
Abv_FremontWeir - SJ_Dutch Slough,3,125,124911.5989
Abv_FremontWeir - BlwOrd,3,50,129648.5394
Abv_FremontWeir - YB_LeveeMarker,3,139,129786.8
Abv_FremontWeir - Old River,3,119,134095.5811
Abv_FremontWeir - MiddleRiver,3,104,135251.7674
Abv_FremontWeir - Benicia,3,34,144270.9738
Abv_FremontWeir - YB_OldRiverRd,3,142,145706.4337
Abv_FremontWeir - KnaggsRanch_BlwRel,3,97,148856.3313
Abv_FremontWeir - KnaggsRanch_Rel,3,98,148964.7661
Abv_FremontWeir - Blw_IrvineFinch,3,40,162340.4851
Abv_FremontWeir - GCID_abv,3,82,171660.15
Abv_FremontWeir - GCID_blw,3,83,171660.15
