,LOC,GEN.x,RKM.x,GenRKM.x,LAT,LON,Type,GEN.y,RKM.y,GenRKM.y,Route,Entrance_Exit,color,check,Route_v2
50,Chipps1.1,ChippsE,71.728,71.728,38.049248,-121.909298,JSATS,ChippsE,71.728,71.728,Estuary,Mainstem,orange,#000000,Estuary Exit
51,Chipps1.2,ChippsE,71.729,71.728,38.047522,-121.909527,JSATS,ChippsE,71.729,71.728,Estuary,Mainstem,orange,#000000,Estuary Exit
52,Chipps1.3,ChippsE,71.73,71.728,38.045992,-121.909692,JSATS,ChippsE,71.73,71.728,Estuary,Mainstem,orange,#000000,Estuary Exit
53,Chipps1.4,ChippsE,71.731,71.728,38.044284,-121.909977,JSATS,ChippsE,71.731,71.728,Estuary,Mainstem,orange,#000000,Estuary Exit
54,Chipps1.5,ChippsE,71.732,71.728,38.042682,-121.910271,JSATS,ChippsE,71.732,71.728,Estuary,Mainstem,orange,#000000,Estuary Exit
55,Chipps2.1,ChippsW,71.242,71.244,38.049103,-121.915108,JSATS,ChippsW,71.242,71.244,Estuary,NA,NA,#000000,Estuary Exit
56,Chipps2.2,ChippsW,71.243,71.244,38.047743,-121.915287,JSATS,ChippsW,71.243,71.244,Estuary,NA,NA,#000000,Estuary Exit
57,Chipps2.3,ChippsW,71.244,71.244,38.046298,-121.915567,JSATS,ChippsW,71.244,71.244,Estuary,NA,NA,#000000,Estuary Exit
58,Chipps2.4,ChippsW,71.245,71.244,38.044822,-121.915819,JSATS,ChippsW,71.245,71.244,Estuary,NA,NA,#000000,Estuary Exit
59,Chipps2.5,ChippsW,71.246,71.244,38.043436,-121.916078,JSATS,ChippsW,71.246,71.244,Estuary,NA,NA,#000000,Estuary Exit
66,DeckrIs1,DeckerIsland,86.075,86.078,38.081273,-121.759482,JSATS,DeckerIsland,86.075,86.078,Estuary,Mainstem,orange,#000000,Estuary Exit
67,DeckrIs4,DeckerIsland,86.078,86.078,38.07568,-121.75524,JSATS,DeckerIsland,86.078,86.078,Estuary,Mainstem,orange,#000000,Estuary Exit
147,DeckrIs2,DeckerIsland,86.076,86.078,38.07916,-121.75954,JSATS,DeckerIsland,86.076,86.078,Estuary,Mainstem,orange,#000000,Estuary Exit
148,DeckrIs3,DeckerIsland,86.077,86.078,38.07781,-121.75797,JSATS,DeckerIsland,86.077,86.078,Estuary,Mainstem,orange,#000000,Estuary Exit
1,Abv_Fremont1,Abv_FremontWeir,215.18,215.18,38.76009,-121.67145,JSATS,Abv_FremontWeir,215.18,215.18,Yolo,enter,,#000075,Yolo Bypass
2,Abv_Fremont2,Abv_FremontWeir,215.179,215.18,38.7594,-121.67165,JSATS,Abv_FremontWeir,215.179,215.18,Yolo,enter,,#000075,Yolo Bypass
