Location ,Lat ,Lon,Rkm,Year,Type
MAL.12a,38.0460063,-121.9331899,72.66495,2016,Vemco
MAL.12b,38.04616667,-121.9342,72.66495,2016,Vemco
MAL.13,38.05192308,-121.9325472,72.66495,2016,Vemco
MAL.14,38.0508618,-121.9329347,72.66495,2016,Vemco
MAL.17,38.04736667,-121.9345833,72.66495,2016,Vemco
MAL.18,38.04650956,-121.9347374,72.66495,2016,Vemco
MAL.2,38.04983333,-121.9296833,73.06495,2016,Vemco
MAL.4,38.04766667,-121.9303833,73.06495,2016,Vemco
MAL.5,38.0466,-121.9309667,73.06495,2016,Vemco
MAL.6,38.04544153,-121.931,73.06495,2016,Vemco
MAL.7a,38.0514,-121.9308833,73.06495,2016,Vemco
MAL.7b,38.05179602,-121.9318397,73.06495,2016,Vemco
MAL.8a,38.05025419,-121.9314927,73.06495,2016,Vemco
MAL.8b,38.05056667,-121.9323339,73.06495,2016,Vemco
MOK.d,38.10936667,-121.5782167,116.662,2016,Vemco
MOK.u,38.10975,-121.5793333,116.662,2016,Vemco
Road 22,38.67756036,-121.64428,163.234,2016,Vemco
RSTR (Rotary Screw Trap),38.35338375,-121.6431812,124.725,2016,Vemco
SACD.1,38.17343333,-121.6484833,104.979,2016,Vemco
SACD.2,38.17276667,-121.6487833,104.979,2016,Vemco
SACD.3,38.17376667,-121.6495667,104.849,2016,Vemco
SACD.4,38.17278333,-121.6499833,104.849,2016,Vemco
SACU.1,38.30048333,-121.5699167,132.059,2016,Vemco
SACU.2,38.30068333,-121.5694833,132.059,2016,Vemco
SACU.3,38.29961667,-121.5691667,131.939,2016,Vemco
SACU.4,38.29988333,-121.5688833,131.939,2016,Vemco
SBE.d,38.3311,-121.58495,125.306,2016,Vemco
SBE.u,38.33181667,-121.5843667,125.306,2016,Vemco
SBF.1,38.78171667,-121.6114667,176.829,2016,Vemco
SBF.2,38.78153447,-121.6103322,176.719,2016,Vemco
SBGD.2,38.23855,-121.5269667,122.218,2016,Vemco
SBGU.2,38.2388,-121.5259,122.318,2016,Vemco
St51,38.76566667,-121.6647667,184.009,2016,Vemco
St52,38.76536667,-121.6648167,184.049,2016,Vemco
St53,38.76563333,-121.6643833,184.009,2016,Vemco
St54,38.76531667,-121.6644167,184.049,2016,Vemco
St55,38.76558333,-121.664,184.009,2016,Vemco
St56,38.7653,-121.6640167,184.049,2016,Vemco
St61,38.76476667,-121.6537333,182.409,2016,Vemco
St62,38.76456667,-121.65375,182.409,2016,Vemco
St63,38.76438333,-121.65375,182.409,2016,Vemco
St64,38.76473333,-121.6532833,182.379,2016,Vemco
St65,38.76456667,-121.6533333,182.379,2016,Vemco
St66,38.76433333,-121.6533,182.379,2016,Vemco
STMD.1,38.1911,-121.6396167,106.335,2016,Vemco
STMD.2,38.19081667,-121.6392667,106.335,2016,Vemco
STMD.3,38.1907,-121.64055,106.235,2016,Vemco
STMD.4,38.19038333,-121.6402,106.235,2016,Vemco
STMU.1,38.29983333,-121.58055,121.708,2016,Vemco
STMU.2,38.29893333,-121.58105,121.708,2016,Vemco
Alcatraz,37.82522,-122.42833,4.414,2007-2011,Vemco
Alcatraz,37.824,-122.40566,4.414,2007-2011,Vemco
Alcatraz,37.82502,-122.4239,4.414,2007-2011,Vemco
Alcatraz,37.82385,-122.42153,4.73,2007-2011,Vemco
Alcatraz,37.82385,-122.42474,4.73,2007-2011,Vemco
Alcatraz,37.82038,-122.42448,4.414,2007-2011,Vemco
Alcatraz,37.82082,-122.42106,4.73,2007-2011,Vemco
Alcatraz,37.82087,-122.42477,4.73,2007-2011,Vemco
Alcatraz_Control,37.83457,-122.44535,3.2,2007-2011,Vemco
Alcatraz_Control,37.83449,-122.44876,3.2,2007-2011,Vemco
Alcatraz_Control,37.83128,-122.4458,3.2,2007-2011,Vemco
Alcatraz_Control,37.83143,-122.44846,3.2,2007-2011,Vemco
AR_FairOaks,38.63635,-121.265483,223.164,2007-2011,Vemco
AR_GoetheBr,38.614667,-121.302961,216.554,2007-2011,Vemco
AR_I-80Br,38.584067,-121.443083,197.984,2007-2011,Vemco
AR_Mouth,38.60183333,-121.4974833,192.262,2007-2011,Vemco
AR_WattHowe,38.563217,-121.398133,204.504,2007-2011,Vemco
BattleCk01,40.39827892,-122.1455475,534.538,2007-2011,Vemco
BattleCk02,40.39773368,-122.1531884,533.881,2007-2011,Vemco
BattleCk03,40.39685274,-122.1535928,533.769,2007-2011,Vemco
BattleCk04,40.39713328,-122.1594667,533.218,2007-2011,Vemco
BattleCk06,40.39478803,-122.1628007,532.82,2007-2011,Vemco
BattleCk06,40.39475123,-122.1628296,532.82,2007-2011,Vemco
BattleCk07,40.39158857,-122.1841729,530.65,2007-2011,Vemco
BattleCk08,40.384397,-122.1795361,529.927,2007-2011,Vemco
BattleCk09,40.38836137,-122.1878321,528.797,2007-2011,Vemco
BattleCk10,40.37568852,-122.1691084,527.392,2007-2011,Vemco
BattleCk11,40.37162673,-122.1687322,526.903,2007-2011,Vemco
Bay Bridge East,37.821967,-122.331567,13.23,2007-2011,Vemco
Bay Bridge East,37.82145,-122.33305,13.23,2007-2011,Vemco
Bay Bridge East,37.82115,-122.33595,13.23,2007-2011,Vemco
Bay Bridge East,37.820376,-122.33522,12.83,2007-2011,Vemco
Bay Bridge East,37.820583,-122.33925,13.23,2007-2011,Vemco
Bay Bridge East,37.819907,-122.338194,12.83,2007-2011,Vemco
Bay Bridge East,37.820233,-122.34235,13.23,2007-2011,Vemco
Bay Bridge East,37.819443,-122.341158,12.83,2007-2011,Vemco
Bay Bridge East,37.81965,-122.346133,13.23,2007-2011,Vemco
Bay Bridge East,37.81884,-122.344124,12.83,2007-2011,Vemco
Bay Bridge East,37.818933,-122.3499,13.23,2007-2011,Vemco
Bay Bridge East,37.817746,-122.347441,12.83,2007-2011,Vemco
Bay Bridge East,37.81645,-122.352567,13.23,2007-2011,Vemco
Bay Bridge East,37.816679,-122.350667,12.83,2007-2011,Vemco
Bay Bridge East,37.815571,-122.353848,12.83,2007-2011,Vemco
Bay Bridge East,37.814517,-122.3586,13.23,2007-2011,Vemco
Bay Bridge East,37.81415,-122.35849,12.83,2007-2011,Vemco
Bay Bridge West,37.79957,-122.37643,10,2007-2011,Vemco
Bay Bridge West,37.805514,-122.369545,10,2007-2011,Vemco
Bay Bridge West,37.80299,-122.37252,10,2007-2011,Vemco
Bay Bridge West,37.800855,-122.375306,10,2007-2011,Vemco
Bay Bridge West,37.800717,-122.374712,10,2007-2011,Vemco
Bay Bridge West,37.798045,-122.37823,10,2007-2011,Vemco
Bay Bridge West,37.798341,-122.377424,10,2007-2011,Vemco
Bay Bridge West,37.79682,-122.37914,10,2007-2011,Vemco
Bay Bridge West,37.795616,-122.38091,10,2007-2011,Vemco
Bay Bridge West,37.795534,-122.380326,10,2007-2011,Vemco
Bay Bridge West,37.79316,-122.38319,10,2007-2011,Vemco
Bay Bridge West,37.790891,-122.38563,10,2007-2011,Vemco
Benicia Bridge,38.04376667,-122.12595,51.69,2007-2011,Vemco
Benicia Bridge,38.04243333,-122.1250167,51.69,2007-2011,Vemco
Benicia Bridge,38.04123333,-122.1238167,51.69,2007-2011,Vemco
Benicia Bridge,38.03896,-122.12192,51.69,2007-2011,Vemco
Benicia Bridge,38.03761667,-122.1210833,51.69,2007-2011,Vemco
Benicia Bridge,38.03645,-122.1201,51.69,2007-2011,Vemco
Benicia Bridge,38.03994,-122.12301,51.69,2007-2011,Vemco
Berkeley_Marina,37.86649,-122.31712,15.14,2007-2011,Vemco
Carquinez Bridge,38.06383333,-122.2269667,41.471,2007-2011,Vemco
Carquinez Bridge,38.06233333,-122.22525,41.471,2007-2011,Vemco
Carquinez Bridge,38.06068,-122.22513,41.471,2007-2011,Vemco
Carquinez Bridge,38.06058333,-122.2249667,41.471,2007-2011,Vemco
Carquinez Bridge,38.05866667,-122.2251,41.471,2007-2011,Vemco
Carquinez Bridge,38.05795,-122.22455,41.471,2007-2011,Vemco
CarSt01,38.0642,-122.2629,38.151,2007-2011,Vemco
ChippMontezuma,38.07188,-121.87516,78.344,2007-2011,Vemco
Chipps Island,38.0465,-121.93805,69.5,2007-2011,Vemco
Chipps Island,38.05,-121.92658,69.5,2007-2011,Vemco
Chipps Island,38.05048,-121.89702,69.5,2007-2011,Vemco
Chipps Island,38.04273,-121.89783,69.5,2007-2011,Vemco
Chipps Island,38.05025,-121.92018,69.5,2007-2011,Vemco
Chipps Island,38.04636667,-121.92035,69.5,2007-2011,Vemco
Chipps Island,38.04488,-121.91996,69.5,2007-2011,Vemco
Chipps Island,38.04276667,-121.92005,69.5,2007-2011,Vemco
Chipps Island,38.04613,-121.89687,69.5,2007-2011,Vemco
Chipps Island,38.04628,-121.92974,69.5,2007-2011,Vemco
Chipps Island,38.04832,-121.93108,69.5,2007-2011,Vemco
Chipps Island,38.04977,-121.93125,69.5,2007-2011,Vemco
Chipps Island,38.05111,-121.92694,69.5,2007-2011,Vemco
Chipps Island,38.04398,-121.93089,69.5,2007-2011,Vemco
Chipps Island,38.05007,-121.8982,69.5,2007-2011,Vemco
Chipps Island,38.04084,-121.9086,69.5,2007-2011,Vemco
Chipps Island,38.04819,-121.93054,69.5,2007-2011,Vemco
Clifton Court,37.8263,-121.5967,127.128,2007-2011,Vemco
Clifton Court,37.8306,-121.5944,127.128,2007-2011,Vemco
Clifton Court,37.8261,-121.5954,127.128,2007-2011,Vemco
Clifton Court,37.8212,-121.5989,127.128,2007-2011,Vemco
Clifton Court,37.833,-121.5784,127.128,2007-2011,Vemco
Clifton Court,37.8517,-121.5782,127.128,2007-2011,Vemco
Clifton Court,37.8355,-121.572,127.128,2007-2011,Vemco
Clifton Court,37.8334,-121.5664,127.128,2007-2011,Vemco
Clifton Court,37.852,-121.5724,127.128,2007-2011,Vemco
Clifton Court,37.8394,-121.5634,127.128,2007-2011,Vemco
Clifton Court,37.828,-121.5889,127.128,2007-2011,Vemco
Clifton Court,37.8263,-121.5967,127.128,2007-2011,Vemco
Clifton Court,37.8274,-121.5818,127.128,2007-2011,Vemco
Clifton Court,37.8355,-121.5884,127.128,2007-2011,Vemco
Clifton Court,37.8404,-121.5809,127.128,2007-2011,Vemco
Clifton Court,37.8439,-121.5864,127.128,2007-2011,Vemco
Clifton Court,37.8437,-121.5717,127.128,2007-2011,Vemco
Clifton Court,37.833,-121.5916,127.128,2007-2011,Vemco
Clifton Court,37.8313,-121.5911,127.128,2007-2011,Vemco
Clifton Court,37.835,-121.5942,127.128,2007-2011,Vemco
Clifton Court,37.8303,-121.5591,127.128,2007-2011,Vemco
Clifton Court,37.830196,-121.5593,127.128,2007-2011,Vemco
Clifton Court,37.831,-121.5578,127.128,2007-2011,Vemco
Clifton Court,37.831085,-121.55815,127.128,2007-2011,Vemco
Clifton Court,37.8263,-121.5967,127.128,2007-2011,Vemco
Clifton Court,37.83,-121.5525,127.128,2007-2011,Vemco
Clifton Court,37.8231,-121.5529,127.128,2007-2011,Vemco
Clifton Court,37.8519,-121.5613,127.128,2007-2011,Vemco
Clifton Court,37.8391,-121.5562,127.128,2007-2011,Vemco
Clifton Court,37.8168,-121.556,127.128,2007-2011,Vemco
Clifton Court,37.8309,-121.554,127.128,2007-2011,Vemco
Clifton Court,37.8263,-121.5967,127.128,2007-2011,Vemco
Clifton Court,37.8263,-121.5967,127.128,2007-2011,Vemco
CosR_Br,38.2572,-121.43295,150.295,2007-2011,Vemco
Decker_IsN,38.10252,-121.7169,90.626,2007-2011,Vemco
Decker_IsS,38.076983,-121.7534,86.326,2007-2011,Vemco
Decker_IsS,38.0831,-121.7594667,86.326,2007-2011,Vemco
Emeryville_Marina,37.83921,-122.3111,15.08,2007-2011,Vemco
Emeryville_Marina,37.84355,-122.31609,15.08,2007-2011,Vemco
FishermansCut,38.07669,-121.64702,105.377,2007-2011,Vemco
FR_Alec,39.482567,-121.57939,324.55,2007-2011,Vemco
FR_Aud_Pool,39.516417,-121.556222,329.65,2007-2011,Vemco
FR_Bedrock,39.515194,-121.563639,328.98,2007-2011,Vemco
FR_Beer_Can,38.882326,-121.614281,235.01,2007-2011,Vemco
FR_Beer_Can,38.885475,-121.614824,235.01,2007-2011,Vemco
FR_Big_Hole_East,39.445097,-121.635853,316.72,2007-2011,Vemco
FR_Big_Hole_West,39.435142,-121.636828,315.6,2007-2011,Vemco
FR_Cotton_Pool,39.51658,-121.55364,329.87,2007-2011,Vemco
FR_Cox,39.33548,-121.63311,300.11,2007-2011,Vemco
FR_Cox,39.338268,-121.629576,300.11,2007-2011,Vemco
FR_Eye_Pool,39.456667,-121.616472,319.69,2007-2011,Vemco
FR_Eye_Pool,39.456667,-121.616472,319.69,2007-2011,Vemco
FR_FBD_Pool,39.51839,-121.54858,330.38,2007-2011,Vemco
FR_Gateway,39.456441,-121.621394,319.25,2007-2011,Vemco
FR_Goose,39.406063,-121.616489,311.08,2007-2011,Vemco
FR_Gridley,39.353967,-121.63155,302.79,2007-2011,Vemco
FR_Gridley_SwampyBend,39.371117,-121.648717,305.28,2007-2011,Vemco
FR_GW_Pool,39.471347,-121.583442,323.24,2007-2011,Vemco
FR_GW_Pool,39.471347,-121.583442,323.24,2007-2011,Vemco
FR_Hour,39.422883,-121.624217,313.72,2007-2011,Vemco
FR_HWY_20,39.13925,-121.607111,268.39,2007-2011,Vemco
FR_HWY_70,39.511944,-121.572917,328.11,2007-2011,Vemco
FR_Matthews,39.488583,-121.578333,325.24,2007-2011,Vemco
FR_Mouth,38.79367,-121.630194,224.13,2007-2011,Vemco
FR_Nicholas,38.901163,-121.587212,237.96,2007-2011,Vemco
FR_River_Bend,39.24643,-121.63645,285.46,2007-2011,Vemco
FR_Rob_Backwater,39.46794,-121.5935,322.2,2007-2011,Vemco
FR_Shanghai,39.089431,-121.59962,261.64,2007-2011,Vemco
FR_Shanghai,39.072917,-121.604983,259.76,2007-2011,Vemco
FR_Shawn's_Beach,39.24643,-121.63645,285.46,2007-2011,Vemco
FR_Star_Bend,39.011333,-121.598472,252.21,2007-2011,Vemco
FR_Steep_Pool,39.462056,-121.604528,320.94,2007-2011,Vemco
FR_Sunset_Pumps,39.24643,-121.63645,285.46,2007-2011,Vemco
FR_Sunset_Pumps,39.24643,-121.63645,285.46,2007-2011,Vemco
FR_Sunset_Pumps,39.24643,-121.63645,285.46,2007-2011,Vemco
FR_Sunset_Pumps,39.24643,-121.63645,285.46,2007-2011,Vemco
FR_TAO_Left,39.455543,-121.632287,318.25,2007-2011,Vemco
FR_TAO_Right,39.45567,-121.63227,318.25,2007-2011,Vemco
FR_Upper_Rob_Pool,39.467028,-121.596056,321.95,2007-2011,Vemco
FR_Verona,38.795563,-121.629937,225.09,2007-2011,Vemco
FR_Verona,38.80155,-121.63466,225.09,2007-2011,Vemco
FR_Verona,38.80155,-121.63466,225.09,2007-2011,Vemco
FR_Yuba_Hwy70,39.13378,-121.58774,268.18,2007-2011,Vemco
FR_Yuba_Mouth,39.13069,-121.596056,267.25,2007-2011,Vemco
FranksTractE,38.07126667,-121.5783667,114.607,2007-2011,Vemco
FranksTractW,38.05546667,-121.6671167,98.51,2007-2011,Vemco
Georg_SloughN,38.23725,-121.5176167,136.424,2007-2011,Vemco
Georg_SloughN,38.235875,-121.517832,136.554,2007-2011,Vemco
Georg_SloughS,38.13468,-121.59226,118.305,2007-2011,Vemco
Georgiana_SloughN1,38.23006,-121.52337,136.47,2007-2011,Vemco
Golden Gate East Line,37.83478,-122.46967,1.717,2007-2011,Vemco
