"","LOC","GEN","LAT","LON","Year","Type"
"2120","Benicia02","BeniciaW",38.04376667,-122.12595,"2017","JSATS"
"2233","BlwPaynes2","Blw_Paynes_Ck",40.2546,-122.17088,"2017","JSATS"
"2235","ButteBr1","ButteBr",39.4569,-121.995,"2017","JSATS"
"2386","Abv_Fremont1","Abv_FremontWeir",38.76009,-121.67145,"2017","JSATS"
"2457","SutterSl","SutterSlough",38.33225,-121.58294,"2017","JSATS"
"2904","Woodson2","Abv_WoodsonBr",39.918188,-122.086142,"2017","JSATS"
"2908","GCID_blw_RR","GCID_blw",39.79022,-122.03549,"2017","JSATS"
"2911","IrvFnch2","Blw_IrvineFinch",39.73129,-121.97488,"2017","JSATS"
"2914","IrvFnch1","Blw_IrvineFinch",39.73139,-121.97227,"2017","JSATS"
"3099","ToeDrainRST","ToeDrainRST",38.3525,-121.64337,"2017","JSATS"
"3100","ToeDrainRST2","ToeDrainRST",38.3523,-121.64395,"2017","JSATS"
"3108","YB_BCW2","YB_LibertyIsBase",38.22411,-121.67524,"2017","JSATS"
"3141","YB_BCE2","YB_LibertyIsBase",38.2243,-121.67281,"2017","JSATS"
"3768","MillConf1","Mill_Ck_Conf",40.0327,-122.11987,"2017","JSATS"
"4026","Butte6","Butte6",38.78346,-121.63226,"2017","JSATS"
"4511","SutterSl2","SutterSlough",38.33178,-121.58308,"2017","JSATS"
"4524","MinerNorth1","MinerNorth",38.2873,-121.60845,"2017","JSATS"
"5184","Hood_2","Hood",38.36219,-121.52247,"2017","JSATS"
"5482","BlSteam2","Blw_Steamboat",38.30004,-121.56871,"2017","JSATS"
"7891","Steam1","SteamboatSlough",38.30026,-121.58067,"2017","JSATS"
"7916","Chipps1.2","ChippsE",38.047522,-121.909527,"2017","JSATS"
"8726","SacTrawl2 RR","SacTrawl2",38.5385,-121.51613,"2017","JSATS"
"9252","Blw_Sutter_1","Blw_Sutter",38.32402,-121.57584,"2017","JSATS"
"9268","GeorgMk2","GeorgeMok",38.12955,-121.58652,"2017","JSATS"
"9273","GeorgMk1","GeorgeMok",38.12946,-121.58521,"2017","JSATS"
"9292","S_B&W2","MokBase",38.11196,-121.58401,"2017","JSATS"
"9298","AntiochBr17","AntiochBridge",38.025371,-121.751626,"2017","JSATS"
"11128","BlwGeorg_1.1","BlwGeorg_1",38.23956,-121.52522,"2017","JSATS"
"12709","ToeDrainBase1","ToeDrainBase",38.29076,-121.6608,"2017","JSATS"
"15411","BlwPaynes1","Blw_Paynes_Ck",40.25534,-122.17332,"2017","JSATS"
"17708","GCID_blw_RL","GCID_blw",39.79212,-122.03654,"2017","JSATS"
"20019","Steam2","SteamboatSlough",38.29958,-121.58037,"2017","JSATS"
"20023","BaseSutSteam1","BaseSutterSteam",38.18312,-121.65181,"2017","JSATS"
"21330","BlwGeorg_1.2","BlwGeorg_1",38.23825,-121.52699,"2017","JSATS"
"23119","ThreeMile2","ThreeMile",38.113547,-121.687289,"2017","JSATS"
"26518","AntiochBr13","AntiochBridge",38.023165,-121.751621,"2017","JSATS"
"31775","ToeDrainBase2","ToeDrainBase",38.2911,-121.66113,"2017","JSATS"
"31870","CowCk2","BlwCowCr",40.4608,-122.22787,"2017","JSATS"
"44908","Battle1","Battle_Conf",40.35368,-122.17737,"2017","JSATS"
"44923","SaltCk1","Blw_Salt",40.1464,-122.15246,"2017","JSATS"
"44992","ButteBr3","ButteBr",39.45722,-121.99437,"2017","JSATS"
"59982","MinorBlwSutter1","MinorBlwSutter",38.28386,-121.60406,"2017","JSATS"
"59985","MinorBlwSutter2","MinorBlwSutter",38.28379,-121.60348,"2017","JSATS"
"65388","AntiochBr15","AntiochBridge",38.024255,-121.751629,"2017","JSATS"
"79173","FRConf3","Blw_FRConf",38.77573,-121.60178,"2017","JSATS"
"79177","FRConf1","Blw_FRConf",38.77409,-121.60043,"2017","JSATS"
"98461","AntiochBr09","AntiochBridge",38.02095,-121.751611,"2017","JSATS"
"117209","SaltCk2","Blw_Salt",40.145555,-122.151037,"2017","JSATS"
"124529","Butte1","Butte1",39.09834,-121.75655,"2017","JSATS"
"124600","Butte2","Butte2",39.00687,-121.72227,"2017","JSATS"
"124611","Butte2A","Butte2",39.00687,-121.72227,"2017","JSATS"
"124772","Butte3","Butte3",38.92734,-121.62995,"2017","JSATS"
"124820","Butte3A","Butte3",38.9277,-121.63046,"2017","JSATS"
"124963","Butte4","Butte4",38.915024,-121.625419,"2017","JSATS"
"125110","Butte5","Butte5",38.85305,-121.65151,"2017","JSATS"
"125233","Butte6A","Butte6",38.78201,-121.63675,"2017","JSATS"
"166575","Benicia03","BeniciaW",38.04243333,-122.1250167,"2017","JSATS"
"180964","BaseSutSteam2","BaseSutterSteam",38.18331,-121.65601,"2017","JSATS"
"249897","Battle1","Battle_Conf",40.35368,-122.17737,"2013","JSATS"
"249903","SaltCk2","Blw_Salt",40.145555,-122.151037,"2013","JSATS"
"249918","Woodson1","Abv_WoodsonBr",39.920093,-122.084461,"2013","JSATS"
"250014","BlwOrd2","BlwOrd",39.56478,-122.00032,"2013","JSATS"
"250025","Colusa1","AbvColusaBr",39.22117,-122.00654,"2013","JSATS"
"250042","AbvTisdale3","AbvTisdale",39.0364,-121.82918,"2013","JSATS"
"250055","AbvTisdale2","AbvTisdale",39.0357,-121.829,"2013","JSATS"
"250078","TowerBr1","TowerBridge",38.58046,-121.50871,"2013","JSATS"
"250086","FreeDiv2","FreeportDiv",38.47142,-121.50721,"2013","JSATS"
"250094","FreeDiv1","FreeportDiv",38.47223,-121.50639,"2013","JSATS"
"250117","BlSteam1","Blw_Steamboat",38.3,-121.56998,"2013","JSATS"
"250126","BlSteam2","Blw_Steamboat",38.30004,-121.56871,"2013","JSATS"
"250140","BlwGeorg_1.1","BlwGeorg_1",38.23956,-121.52522,"2013","JSATS"
"250146","BlwGeorg_1.2","BlwGeorg_1",38.23825,-121.52699,"2013","JSATS"
"250154","RioVistaBr2","RioVistaBr",38.158563,-121.683758,"2013","JSATS"
"250163","RioVistaBr3","RioVistaBr",38.158994,-121.684739,"2013","JSATS"
"250194","DeckrIs2","DeckerIsland",38.07916,-121.75954,"2013","JSATS"
"250210","DeckrIs1","DeckerIsland",38.081273,-121.759482,"2013","JSATS"
"250248","Benicia06","BeniciaW",38.03896,-122.12192,"2013","JSATS"
"250272","Benicia03","BeniciaW",38.04243333,-122.1250167,"2013","JSATS"
"250292","Benicia04","BeniciaW",38.04123333,-122.1238167,"2013","JSATS"
"256410","CowCk1","BlwCowCr",40.46013,-122.22765,"2013","JSATS"
"256414","Battle2","Battle_Conf",40.353558,-122.176715,"2013","JSATS"
"256852","SaltCk1","Blw_Salt",40.1464,-122.15246,"2013","JSATS"
"256912","Woodson2","Abv_WoodsonBr",39.918188,-122.086142,"2013","JSATS"
"256924","IrvFnch2","Blw_IrvineFinch",39.73129,-121.97488,"2013","JSATS"
"256943","BlwOrd1","BlwOrd",39.56548,-122.0018,"2013","JSATS"
"260885","BlwButteBr1","BlwButteBr",39.41799,-122.01043,"2013","JSATS"
"260920","Knights2","KnightsLanding",38.82319,-121.72336,"2013","JSATS"
"260921","Knights1","KnightsLanding",38.8229,-121.72411,"2013","JSATS"
"266849","IrvFnch1","Blw_IrvineFinch",39.73139,-121.97227,"2013","JSATS"
"267199","BlwButteBr2","BlwButteBr",39.41863,-122.01007,"2013","JSATS"
"267234","TowerBr3","TowerBridge",38.58025,-121.50816,"2013","JSATS"
"267403","DeckrIs4","DeckerIsland",38.07568,-121.75524,"2013","JSATS"
"267405","DeckrIs3","DeckerIsland",38.07781,-121.75797,"2013","JSATS"
"278670","AntiochS","Antioch",38.02076,-121.82018,"2013","JSATS"
"295195","FRConf1","Blw_FRConf",38.77409,-121.60043,"2013","JSATS"
"295254","SR_Mouth2","SR_Mouth",38.17236,-121.65096,"2013","JSATS"
"295451","Benicia07","BeniciaW",38.03761667,-122.1210833,"2013","JSATS"
"302635","CowCk2","BlwCowCr",40.4608,-122.22787,"2014","JSATS"
"302637","CowCk1","BlwCowCr",40.46013,-122.22765,"2014","JSATS"
"302646","Battle1_2014","Battle_Conf",40.35371,-122.17734,"2014","JSATS"
"302671","BlwPaynes2","Blw_Paynes_Ck",40.2546,-122.17088,"2014","JSATS"
"302692","SaltCk1","Blw_Salt",40.1464,-122.15246,"2014","JSATS"
"302720","MillConf2","Mill_Ck_Conf",40.03397,-122.11948,"2014","JSATS"
"302739","MillConf1","Mill_Ck_Conf",40.0327,-122.11987,"2014","JSATS"
"302751","Woodson1","Abv_WoodsonBr",39.920093,-122.084461,"2014","JSATS"
"302783","IrvFnch2","Blw_IrvineFinch",39.73129,-121.97488,"2014","JSATS"
"302788","BlwOrd2","BlwOrd",39.56478,-122.00032,"2014","JSATS"
"302790","AbvTisdale2","AbvTisdale",39.0357,-121.829,"2014","JSATS"
"302794","TowerBr3","TowerBridge",38.58025,-121.50816,"2014","JSATS"
"302796","TowerBr1","TowerBridge",38.58046,-121.50871,"2014","JSATS"
"302801","Hood_1","Hood",38.3617,-121.52033,"2014","JSATS"
"302813","BaseSutSteam2","BaseSutterSteam",38.18331,-121.65601,"2014","JSATS"
"302818","RioVistaBr2","RioVistaBr",38.158563,-121.683758,"2014","JSATS"
"302826","RioVistaBr3","RioVistaBr",38.158994,-121.684739,"2014","JSATS"
"302905","DeckrIs3","DeckerIsland",38.07781,-121.75797,"2014","JSATS"
"302913","Benicia05","BeniciaW",38.03994,-122.12301,"2014","JSATS"
"316138","Battle2","Battle_Conf",40.353558,-122.176715,"2014","JSATS"
"316254","BlwPaynes1","Blw_Paynes_Ck",40.25534,-122.17332,"2014","JSATS"
"316521","SaltCk2","Blw_Salt",40.145555,-122.151037,"2014","JSATS"
"316623","BlwOrd1","BlwOrd",39.56548,-122.0018,"2014","JSATS"
"316640","BlwButteBr2","BlwButteBr",39.41863,-122.01007,"2014","JSATS"
"316642","BlwButteBr1","BlwButteBr",39.41799,-122.01043,"2014","JSATS"
"316652","Colusa1","AbvColusaBr",39.22117,-122.00654,"2014","JSATS"
"316662","BlwChinaBend2","BlwChinaBend",38.88246,-121.81771,"2014","JSATS"
"316672","FreeportBr2","FreeportBr",38.45561,-121.501556,"2014","JSATS"
"316674","Hood_2","Hood",38.36219,-121.52247,"2014","JSATS"
"316680","Blw_Sutter_2","Blw_Sutter",38.32445,-121.57745,"2014","JSATS"
"316693","Blw_Sutter_1","Blw_Sutter",38.32402,-121.57584,"2014","JSATS"
"316696","BlSteam1","Blw_Steamboat",38.3,-121.56998,"2014","JSATS"
"316748","GeorgSl_1.2","GeorgSl_1",38.23388,-121.519,"2014","JSATS"
"316756","GeorgSl_1.1","GeorgSl_1",38.23417,-121.5196,"2014","JSATS"
"316774","ThreeMile1","ThreeMile",38.11595,-121.68571,"2014","JSATS"
"316786","DeckrIs4","DeckerIsland",38.07568,-121.75524,"2014","JSATS"
"316840","Benicia04","BeniciaW",38.04123333,-122.1238167,"2014","JSATS"
"327114","BlwGeorg_1.2","BlwGeorg_1",38.23825,-121.52699,"2014","JSATS"
"327123","Hwy84Ferry2","Hwy84Ferry",38.19062,-121.66009,"2014","JSATS"
"327243","Hwy84Ferry1","Hwy84Ferry",38.1901,-121.65765,"2014","JSATS"
"327363","Benicia02","BeniciaW",38.04376667,-122.12595,"2014","JSATS"
"327365","Benicia03","BeniciaW",38.04243333,-122.1250167,"2014","JSATS"
"331793","Woodson2","Abv_WoodsonBr",39.918188,-122.086142,"2014","JSATS"
"331818","IrvFnch1","Blw_IrvineFinch",39.73139,-121.97227,"2014","JSATS"
"332061","BlwChinaBend1","BlwChinaBend",38.88396,-121.81711,"2014","JSATS"
"332070","Knights2","KnightsLanding",38.82319,-121.72336,"2014","JSATS"
"332163","BlwGeorg_1.1","BlwGeorg_1",38.23956,-121.52522,"2014","JSATS"
"332187","SR_Mouth2","SR_Mouth",38.17236,-121.65096,"2014","JSATS"
"332364","DeckrIs2","DeckerIsland",38.07916,-121.75954,"2014","JSATS"
"332374","DeckrIs1","DeckerIsland",38.081273,-121.759482,"2014","JSATS"
"332405","Benicia07","BeniciaW",38.03761667,-122.1210833,"2014","JSATS"
"332410","Benicia06","BeniciaW",38.03896,-122.12192,"2014","JSATS"
"334662","AbvTisdale3","AbvTisdale",39.0364,-121.82918,"2014","JSATS"
"334712","FreeportBr1","FreeportBr",38.455486,-121.502344,"2014","JSATS"
"335043","Benicia01","BeniciaW",38.04494,-122.12695,"2014","JSATS"
"348080","AntiochBr20","AntiochBridge",38.028459,-121.75183,"2014","JSATS"
"360247","SR_Mouth1","SR_Mouth",38.17303,-121.65331,"2014","JSATS"
"370317","AntiochBr19","AntiochBridge",38.027212,-121.751816,"2014","JSATS"
"372002","FRConf3","Blw_FRConf",38.77573,-121.60178,"2014","JSATS"
"372053","SutterSl","SutterSlough",38.33225,-121.58294,"2014","JSATS"
"412523","Colusa2","AbvColusaBr",39.21975,-122.00945,"2014","JSATS"
"412613","Steam1","SteamboatSlough",38.30026,-121.58067,"2014","JSATS"
"441457","AntiochBr13","AntiochBridge",38.023165,-121.751621,"2014","JSATS"
"459097","FRConf4","Blw_FRConf",38.77621,-121.60019,"2014","JSATS"
"497611","Knights1","KnightsLanding",38.8229,-121.72411,"2014","JSATS"
"497769","BaseSutSteam1","BaseSutterSteam",38.18312,-121.65181,"2014","JSATS"
"508089","CowCk1","BlwCowCr",40.46013,-122.22765,"2015","JSATS"
"508116","Battle2","Battle_Conf",40.353558,-122.176715,"2015","JSATS"
"508148","Battle1","Battle_Conf",40.35368,-122.17737,"2015","JSATS"
"508166","BlwPaynes1","Blw_Paynes_Ck",40.25534,-122.17332,"2015","JSATS"
"508167","BlwPaynes2","Blw_Paynes_Ck",40.2546,-122.17088,"2015","JSATS"
"508225","SaltCk1","Blw_Salt",40.1464,-122.15246,"2015","JSATS"
"508246","SaltCk2","Blw_Salt",40.145555,-122.151037,"2015","JSATS"
"508272","MillConf2","Mill_Ck_Conf",40.03397,-122.11948,"2015","JSATS"
"508273","MillConf1","Mill_Ck_Conf",40.0327,-122.11987,"2015","JSATS"
"508313","Woodson1","Abv_WoodsonBr",39.920093,-122.084461,"2015","JSATS"
"508357","IrvFnch2","Blw_IrvineFinch",39.73129,-121.97488,"2015","JSATS"
"508366","IrvFnch1","Blw_IrvineFinch",39.73139,-121.97227,"2015","JSATS"
"508388","ButteBr1","ButteBr",39.4569,-121.995,"2015","JSATS"
"508392","Colusa1","AbvColusaBr",39.22117,-122.00654,"2015","JSATS"
"508399","AbvTisdale3","AbvTisdale",39.0364,-121.82918,"2015","JSATS"
"508407","AbvTisdale4","AbvTisdale",39.0361,-121.829,"2015","JSATS"
"508423","BlwChinaBend1","BlwChinaBend",38.88396,-121.81711,"2015","JSATS"
"508426","BlwChinaBend2","BlwChinaBend",38.88246,-121.81771,"2015","JSATS"
"508430","Knights2","KnightsLanding",38.82319,-121.72336,"2015","JSATS"
"508433","FRConf2","Blw_FRConf",38.77815,-121.60226,"2015","JSATS"
"508445","I80-50_Br2","I80-50_Br",38.57117,-121.51629,"2015","JSATS"
"508453","SutterSl","SutterSlough",38.33225,-121.58294,"2015","JSATS"
"508460","SutterSl2","SutterSlough",38.33178,-121.58308,"2015","JSATS"
"508534","MinerNorth1","MinerNorth",38.2873,-121.60845,"2015","JSATS"
"508552","Hwy84Ferry1","Hwy84Ferry",38.1901,-121.65765,"2015","JSATS"
"508767","Hwy84Ferry2","Hwy84Ferry",38.19062,-121.66009,"2015","JSATS"
"508821","RioVistaBr3","RioVistaBr",38.158994,-121.684739,"2015","JSATS"
"508831","RioVistaBr2","RioVistaBr",38.158563,-121.683758,"2015","JSATS"
"508834","RioVistaBr1","RioVistaBr",38.156733,-121.67955,"2015","JSATS"
"508992","DeckrIs2","DeckerIsland",38.07916,-121.75954,"2015","JSATS"
"509008","DeckrIs1","DeckerIsland",38.081273,-121.759482,"2015","JSATS"
"509012","DeckrIs3","DeckerIsland",38.07781,-121.75797,"2015","JSATS"
"509145","Benicia03","BeniciaW",38.04243333,-122.1250167,"2015","JSATS"
"509157","Benicia05","BeniciaW",38.03994,-122.12301,"2015","JSATS"
"509171","Benicia02","BeniciaW",38.04376667,-122.12595,"2015","JSATS"
"509194","Benicia01","BeniciaW",38.04494,-122.12695,"2015","JSATS"
"511257","Colusa2","AbvColusaBr",39.21975,-122.00945,"2015","JSATS"
"511281","Blw_Sutter_2","Blw_Sutter",38.32445,-121.57745,"2015","JSATS"
"511283","BlSteam1","Blw_Steamboat",38.3,-121.56998,"2015","JSATS"
"511291","BlwGeorg_1.2","BlwGeorg_1",38.23825,-121.52699,"2015","JSATS"
"511298","BlwGeorg_1.1","BlwGeorg_1",38.23956,-121.52522,"2015","JSATS"
"512742","CowCk2","BlwCowCr",40.4608,-122.22787,"2015","JSATS"
"512913","FRConf3","Blw_FRConf",38.77573,-121.60178,"2015","JSATS"
"512918","Steam2","SteamboatSlough",38.29958,-121.58037,"2015","JSATS"
"512923","SutterSteamJ2","SutterSteamJunc",38.25286,-121.60237,"2015","JSATS"
"512932","SutterSteamJ1","SutterSteamJunc",38.25163,-121.60279,"2015","JSATS"
"512955","BaseSutSteam1","BaseSutterSteam",38.18312,-121.65181,"2015","JSATS"
"513006","AntiochBr17","AntiochBridge",38.025371,-121.751626,"2015","JSATS"
"513021","AntiochBr15","AntiochBridge",38.024255,-121.751629,"2015","JSATS"
"513112","Benicia04","BeniciaW",38.04123333,-122.1238167,"2015","JSATS"
"526143","BlwOrd2","BlwOrd",39.56478,-122.00032,"2015","JSATS"
"526152","ButteBr2","ButteBr",39.4572,-121.995,"2015","JSATS"
"526197","Hood_2","Hood",38.36219,-121.52247,"2015","JSATS"
"526205","Blw_Sutter_1","Blw_Sutter",38.32402,-121.57584,"2015","JSATS"
"526234","SR_Mouth2","SR_Mouth",38.17236,-121.65096,"2015","JSATS"
"526249","SR_Mouth1","SR_Mouth",38.17303,-121.65331,"2015","JSATS"
"526271","DeckrIs4","DeckerIsland",38.07568,-121.75524,"2015","JSATS"
"526727","BlwOrd1","BlwOrd",39.56548,-122.0018,"2015","JSATS"
"526757","Meridian1","MeridanBr",39.1427,-121.91838,"2015","JSATS"
"530198","FRConf1","Blw_FRConf",38.77409,-121.60043,"2015","JSATS"
"530595","Benicia07","BeniciaW",38.03761667,-122.1210833,"2015","JSATS"
"530599","Benicia06","BeniciaW",38.03896,-122.12192,"2015","JSATS"
"530603","Benicia08","BeniciaW",38.03645,-122.1201,"2015","JSATS"
"535084","GeorgSl_1.1","GeorgSl_1",38.23417,-121.5196,"2015","JSATS"
"535087","GeorgSl_1.2","GeorgSl_1",38.23388,-121.519,"2015","JSATS"
"535127","GeorgMk2","GeorgeMok",38.12955,-121.58652,"2015","JSATS"
"535135","GeorgMk1","GeorgeMok",38.12946,-121.58521,"2015","JSATS"
"535164","S_B&W2","MokBase",38.11196,-121.58401,"2015","JSATS"
"535186","S_B&W1","MokBase",38.11047,-121.58224,"2015","JSATS"
"539957","AntiochBr19","AntiochBridge",38.027212,-121.751816,"2015","JSATS"
"539970","AntiochBr20","AntiochBridge",38.028459,-121.75183,"2015","JSATS"
"547819","ThreeMile2","ThreeMile",38.113547,-121.687289,"2015","JSATS"
"547907","AntiochBr18","AntiochBridge",38.026202,-121.751644,"2015","JSATS"
"547954","AntiochBr13","AntiochBridge",38.023165,-121.751621,"2015","JSATS"
"550037","I80-50_Br4","I80-50_Br",38.570663,-121.515708,"2015","JSATS"
"553092","Freeport2","Freeport",38.46594,-121.50357,"2015","JSATS"
"553109","Freeport1","Freeport",38.46467,-121.50501,"2015","JSATS"
"553171","Above_Hood_2","Above_Hood",38.36794,-121.5223,"2015","JSATS"
"577498","Steam1","SteamboatSlough",38.30026,-121.58067,"2015","JSATS"
"597720","AntiochBr11","AntiochBridge",38.02205,-121.751612,"2015","JSATS"
"600386","AbvTisdale1","AbvTisdale",39.0366,-121.829,"2015","JSATS"
"633516","BaseSutSteam2","BaseSutterSteam",38.18331,-121.65601,"2015","JSATS"
"645828","MinorBlwSutter1","MinorBlwSutter",38.28386,-121.60406,"2015","JSATS"
"645835","MinorBlwSutter2","MinorBlwSutter",38.28379,-121.60348,"2015","JSATS"
"737755","CowCk2","BlwCowCr",40.4608,-122.22787,"2016","JSATS"
"737765","CowCk1","BlwCowCr",40.46013,-122.22765,"2016","JSATS"
"737769","Battle1","Battle_Conf",40.35368,-122.17737,"2016","JSATS"
"737781","BlwPaynes1","Blw_Paynes_Ck",40.25534,-122.17332,"2016","JSATS"
"737966","BlwPaynes2","Blw_Paynes_Ck",40.2546,-122.17088,"2016","JSATS"
"737981","SaltCk1","Blw_Salt",40.1464,-122.15246,"2016","JSATS"
"737997","SaltCk2","Blw_Salt",40.145555,-122.151037,"2016","JSATS"
"738067","MillConf1","Mill_Ck_Conf",40.0327,-122.11987,"2016","JSATS"
"738076","Woodson1","Abv_WoodsonBr",39.920093,-122.084461,"2016","JSATS"
"738084","Woodson2","Abv_WoodsonBr",39.918188,-122.086142,"2016","JSATS"
"738102","IrvFnch2","Blw_IrvineFinch",39.73129,-121.97488,"2016","JSATS"
"738131","IrvFnch1","Blw_IrvineFinch",39.73139,-121.97227,"2016","JSATS"
"738157","BlwOrd1","BlwOrd",39.56548,-122.0018,"2016","JSATS"
"738174","BlwOrd2","BlwOrd",39.56478,-122.00032,"2016","JSATS"
"738182","RT_Colusa2","AbvColusaBrRT",39.2647,-121.999,"2016","JSATS"
"738199","RT_Colusa3","AbvColusaBrRT",39.2647,-121.999,"2016","JSATS"
"738202","RT_Colusa1","AbvColusaBrRT",39.2647,-122,"2016","JSATS"
"738236","Colusa1","AbvColusaBr",39.22117,-122.00654,"2016","JSATS"
"738240","Colusa2","AbvColusaBr",39.21975,-122.00945,"2016","JSATS"
"738244","Meridian1","MeridanBr",39.1427,-121.91838,"2016","JSATS"
"738250","AbvTisdale1","AbvTisdale",39.0366,-121.829,"2016","JSATS"
"738258","AbvTisdale4","AbvTisdale",39.0361,-121.829,"2016","JSATS"
"738262","AbvTisdale2","AbvTisdale",39.0357,-121.829,"2016","JSATS"
"738316","BlwChinaBend1","BlwChinaBend",38.88396,-121.81711,"2016","JSATS"
"738326","BlwChinaBend2","BlwChinaBend",38.88246,-121.81771,"2016","JSATS"
"738336","RT_Knights_South","KnightsLandingBr",38.8021,-121.72,"2016","JSATS"
"738349","Knights_Bridge_3","KnightsLandingBr",38.8026,-121.72,"2016","JSATS"
"738354","RT_Knights_North","KnightsLandingBr",38.8026,-121.72,"2016","JSATS"
"738358","TowerBr3","TowerBridge",38.58025,-121.50816,"2016","JSATS"
"738364","TowerBr1","TowerBridge",38.58046,-121.50871,"2016","JSATS"
"738383","I80-50_Br4","I80-50_Br",38.570663,-121.515708,"2016","JSATS"
"738387","I80-50_Br2","I80-50_Br",38.57117,-121.51629,"2016","JSATS"
"738412","SacTrawl1 RL","SacTrawl1",38.54071,-121.51201,"2016","JSATS"
